run,note,params_M,size_MB,train_min,val_P,val_R,val_mAP50,val_mAP50-95,val_infer_ms,val_AP50_2_class,val_AP50_4_class,val_AP50_front_door,val_AP50_rear_door,val_AP50_water_dispenser,test_P,test_R,test_mAP50,test_mAP50-95,test_infer_ms,test_AP50_2_class,test_AP50_4_class,test_AP50_front_door,test_AP50_rear_door,test_AP50_water_dispenser,val_AP50_logo
yolov8n_img960,imgsz 960,3.01,6.3,7.7,0.909,0.981,0.982,0.742,8.8,0.928,0.995,0.995,0.995,0.995,0.96,1.0,0.995,0.813,10.18,0.995,0.995,0.995,0.995,0.995,
yolov8n_aug,aug 강화,3.01,6.2,5.9,0.949,0.993,0.995,0.722,10.27,0.995,0.995,0.995,0.995,0.995,0.972,1.0,0.995,0.77,10.77,0.995,0.995,0.995,0.995,0.995,
yolov8n_img960_aug,960+aug,3.01,6.3,7.9,0.956,1.0,0.995,0.665,8.9,0.995,0.995,0.995,0.995,0.995,0.927,1.0,0.995,0.805,8.84,0.995,0.995,0.995,0.995,0.995,
yolov8s_base,baseline,11.14,22.5,7.3,0.966,0.918,0.962,0.752,22.61,0.828,0.995,0.995,0.995,0.995,0.971,1.0,0.995,0.793,30.82,0.995,0.995,0.995,0.995,0.995,
yolo11n_base,baseline,2.59,5.5,6.0,0.947,0.913,0.959,0.743,13.75,0.817,0.995,0.995,0.995,0.995,0.875,1.0,0.995,0.795,21.55,0.995,0.995,0.995,0.995,0.995,
yolo11s_base,baseline,9.43,19.2,7.3,0.906,0.96,0.96,0.747,13.36,0.818,0.995,0.995,0.995,0.995,0.956,0.8,0.895,0.721,23.25,0.497,0.995,0.995,0.995,0.995,
yolo26n_base,baseline,2.51,5.4,12.9,0.891,0.994,0.971,0.732,7.72,0.895,0.995,0.977,0.995,0.995,0.928,1.0,0.99,0.809,25.14,0.995,0.995,0.972,0.995,0.995,
yolov8n_base,baseline,3.01,6.2,5.8,0.931,0.979,0.989,0.72,11.7,0.962,0.995,0.995,0.995,0.995,0.971,0.947,0.995,0.791,13.21,0.995,0.995,0.995,0.995,0.995,0.995
