run,ext_P,ext_R,ext_mAP50,ext_mAP50-95,ext_infer_ms,ext_AP50_room2,ext_AP50_room4,ext_AP50_front_door,ext_AP50_rear_door,ext_AP50_2_class,ext_AP50_4_class
yolov8n_base,0.818,0.733,0.765,0.451,18.62,,,0.297,0.973,0.947,0.845
yolov8n_img960,0.838,0.769,0.76,0.461,8.11,,,0.252,0.988,0.869,0.932
teammate_yolo,0.801,0.658,0.742,0.438,16.07,0.803,0.891,0.291,0.984,,
yolo26n_base,0.74,0.745,0.741,0.45,11.6,,,0.247,0.983,0.82,0.915
yolov8n_aug,0.685,0.732,0.733,0.465,8.13,,,0.156,0.991,0.879,0.906
yolo11n_base,0.747,0.752,0.728,0.424,10.13,,,0.267,0.983,0.873,0.787
yolov8s_base,0.772,0.708,0.718,0.41,13.72,,,0.228,0.984,0.792,0.867
yolov8n_img960_aug,0.75,0.713,0.715,0.445,8.19,,,0.139,0.993,0.819,0.907
yolo11s_base,0.754,0.645,0.705,0.413,17.3,,,0.166,0.957,0.938,0.761
